Numaranız;Doğum Yılınız;Boyunuz cm olarak;Kilonuz;Ayakkabı Numaranız;Göz Renginiz;Saç Renginiz;Doğum Yeri İlçe;Doğum Yeri İl;Mezun Olduğunuz Lisenin Adı;Mezun Olduğunuz Lisenin Bulunduğu İl;Üniversite Giriş Sınavında Yerleşme Puanız;Üniversite Giriş Sınavında Yerleşme Sıralamanız;Ailenizin İkamet Ettiği İl;Babanızın Eğitim Durumu;Babanızın Mesleği;Annenizin Eğitim Durumu;Annenizin Mesleği;Kardeş Sayısı (Tek Çocuk iseniz 0 Yazınız);Şu anki Not Ortalamanız;İkamet Ettiğiniz İl;İkamet Ettiğiniz İlçe;İkamet Ettiğiniz Mahalle;İkamet Ettiğiniz Yer;Aylık Ortalama Harcamanız TL.;Aylık Ortalama Geliriniz TL.;Her zaman Kulanabileceğiniz Bir Bilgisayara Sahip misiniz;Python İle ilgili Bilgi Düzeyiniz;Çalışma Durumunuz;Cep Telefonunuz ;Kredi Kartınız
23;2004;67;75;38;kahverengi;kahverengi;adapazarı;sakarya;Akyazı Kız İmam Hatip Lisesi;Sakarya;322;437.753;Sakarya;Üniversite;Memur;İlkokul;Ev hanımı;2;2.89;Sakarya;akyazı;vakıf;Aile Yanı;4.000;4.000;Evet;Hiç Yok;Çalışmıyorum;Var;Var
24;2004;150;50;38;Siyah;Siyah;Cakarta;Cakarta;Sma Negeri 6 Depok;Depok;;;Cakarta;lisans;İş Adamı;Lisans;Ev kadını;2;2.71;Sakarya;Serdivan;Kemalpaşa;Apart;;;Evet;Hiç Yok;Çalışmıyorum;Var;Var
25;2004;163;51;37;Ela;Kahverengi;Gebze;Kocaeli;Fatih Sultan Mehmet Anadolu Lisesi;Kocaeli;284.00;506.000;Kocaeli;Lise mezunu;Emekli;Önlisans mezunu;Hemşire;1;3.55;Sakaryq;Serdivan;Kemalpaşa;Devlet Yurdu;9.000 TL;12.000 TL;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
26;2004;170;68;39;Siyah;Siyah;Sultanbeyli;İstanbul;Hüsnü Mehmet Özyeğin Anadolu Lisesi;İstanbul;300.000;430.000;İstanbul;Ortaokul;Serbest Meslek;Ortaokul;Ev hanımı;1;3,08;İstanbul;Sultanbeyli;Necip Fazıl Mahallesi;Aile Yanı;4000;4000;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
27;2003;1,67;60;36,5;kahverengi;sarı;derince;kocaeli;Orhangazi Anadolu Lisesi;Körfez;290.000;490.000;Kocaeli;ortaokul ;Emekli güvenlik;ilkokul;ev hanımı;1;2,63;kocaeli;körfez;Hacı osman mahallesi;Devlet Yurdu;10.000;10.000;Evet;Lisede görmüştüm;Çalışmıyorum;Var;Yok
28;2005;177;75;71;Kahverengi;Kumral;Körfez;Kocaeli;Orhangazi anadolu lisesi;Kocaeli;303;360.000;Kocaeli;İlkokul;Sevkiyat sorumlusu;İlkokul;Ev hanımı;1;2.40;Kocaeli;Körfez;Barbaros mh;Aile Yanı;12000;12000;Evet;Lisede görmüştüm;Çalışmıyorum;Var;Var
29;2001;180;82;43;kahverengi;siyah;adapazarı;sakarya;açık öğretim;sakarya;330;;sakarya;ortaokul;torna tesviye;ortaokul;yok;2;1.31;sakarya;erenler;erenler mahallesi;Aile Yanı;10000;;Hayır;Hiç Yok;Çalışmıyorum;Var;Yok
30;2005;162;60;38;Yeşil;Kumral;Gebze;Kocaeli;Cumhuriyet Anadolu lisesi ;Kocaeli;;;Kocaeli;İlkokul mezunu;Serbest meslek;İlkokul mezunu;Çalışmıyor ;2;3.28;Kocaeli;Gebze;Yavuz selim mahallesi ;Aile Yanı;10000;;Hayır;Hiç Yok;Çalışmıyorum;Var;Var
31;2003;155;49;36;kahverengi;kahverengi;Posof;Ardahan;Avcılar Firuzköy Çok Programlı Anadolu Lisesi;İstanbul;325;420000;İstanbul;ortaokul;emekli;ortaokul;ev hanımı;2;2.95;İstanbul;Avcılar;Yeşilkent ;Aile Yanı;10000;10000;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
32;2004;160;;39;Siyah;Siyah;Kadıköy;İstanbul;Hacı Hatice Bayraktar Anadolu Lisesi;Kartal;289;889.736 (yanlış hatırlamıyorsam) ;İstanbul;İlkokul;İlkokul;İlkokul ;Ev hanımı;2;2.46;İstanbul;Kartal;Cumhuriyet;Devlet Yurdu;7.000;9.000;Evet;Hiç Yok;Çalışıyorum;Var;Var
33;2004;162;45;36.5;Kahverengi;Kumral;Erenler ;Sakarya;Açıköğretim Lisesi ;Sakarya ;296;439.644;Sakarya;Lise ;Emekli ;Ortaokul;Ev Hanımı;1;3.15;Sakarya;Erenler;Dilmen Mahallesi;Aile Yanı;8000;12.000;Evet;Hiç Yok;Çalışıyorum;Var;Var
34;2003;160;40;36;Yeşil;Kahverengi;Serdivan;Sakarya;Serdivan Anadolu Lisesi;Sakarya;339,16038;213.216;Sakarya;Üniversite;Memur;Lise;Çalışmıyor;1;2,2;Sakarya;Serdivan;Arabacıalanı;Aile Yanı;12.000;20.000;Evet;Hiç Yok;Çalışıyorum;Var;Var
